Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Bukit Canberra Swimming Complex,21 Canberra Link Singapore 756973,Swimming Pool,North,756973,1.44723286455361,103.823643654435
Bukit Gombak ActiveSG Gym,810 Bukit Batok West Avenue 5 Singapore 659088,Gym,West,659088,1.36731012055308,103.752439780696
Bukit Gombak Sport Centre,810 Bukit Batok West Avenue 5 Singapore 659088,Sport Centre,West,659088,1.35975603325519,103.752285494299
Bukit Gombak Sport Hall,810 Bukit Batok West Avenue 5 Singapore 659088,Sport Hall,West,659088,1.35981192280926,103.75225912773
Bukit Gombak Stadium,800 Bukit Batok West Avenue 5 Singapore 659081,Stadium,West,659081,1.35779556054485,103.753168523199
Bukit Merah Secondary School Hall,10 Lengkok Bahru Singapore 159050,School Sport Hall,Central,159050,1.34849111079052,103.74087370482
Bukit Panjang Government High School Field,7 Choa Chu Kang Avenue 4 Singapore 689809,School Field,West,689809,1.38394936211823,103.773632022975
Bukit Panjang Government High School Hall,7 Choa Chu Kang Avenue 4 Singapore 689809,School Sport Hall,West,689809,1.38394936211823,103.773632022975
Bukit Panjang Primary School Hall,109 Cashew Road Singapore 679676,School Sport Hall,West,679676,1.38394936211823,103.773632022975
Bukit Timah Primary School Hall,111 Lorong Kismis Singapore 598112,School Sport Hall,Central,598112,1.3377498622588,103.766855344779
Bukit View Secondary School Field,16 Bukit Batok Street 21 Singapore 659633,School Field,West,659633,1.34849111079052,103.74087370482
Bukit View Secondary School Hall,16 Bukit Batok Street 21 Singapore 659633,School Sport Hall,West,659633,1.34849111079052,103.74087370482
Burghley Squash Centre,43 Burghley Drive Singapore 559020,N/A,Northeast,559020,1.35937725982006,103.860489203259
Burghley Tennis Centre,43 Burghley Drive Singapore 559020,N/A,Northeast,559020,1.35937725982006,103.860489203259
Canberra Primary School Field,21 Admiralty Drive Singapore 757714,Free To Play Field,North,757714,1.32181250780475,103.865404167629
Canberra Primary School Hall,21 Admiralty Drive Singapore 757714,School Sport Hall,North,757714,1.45125024371543,103.815858858929
Canberra Secondary School Field,51 Sembawang Drive Singapore 757699,School Field,North,757699,1.30705061123433,103.886917922608
Canberra Secondary School Hall,51 Sembawang Drive Singapore 757699,School Sport Hall,North,757699,1.30705061123433,103.886917922608
Cantonment Primary School Field,1 Cantonment Close Singapore 088256,Free To Play Field,Central,088256,1.32181250780475,103.865404167629
Cantonment Primary School Hall,1 Cantonment Close Singapore 088256,School Sport Hall,Central,088256,1.27547252623201,103.839962631748
